nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL5,GR,3.6666666666666665,Ineligible / Not Applicable,,6.0,4.0,1,59.0,0,-8.2,3.4,0
EL5,GR,1.6666666666666667,Valid Party Vote,0.0,3.0,6.0,1,54.0,0,-8.2,3.4,0
EL3,GR,2.6666666666666665,Valid Party Vote,0.0,5.0,4.0,0,57.0,1,-11.6,-0.5,4
EL5,GR,5.0,Valid Party Vote,0.0,3.0,4.0,1,22.0,0,-8.2,3.4,0
EL5,GR,2.3333333333333335,Valid Party Vote,0.0,6.0,7.0,0,35.0,0,-8.2,3.4,0
EL3,GR,4.333333333333333,Valid Party Vote,0.0,5.0,7.0,1,39.0,1,-11.6,-0.5,4
EL5,GR,0.6666666666666666,Refuse to Say,,2.0,2.0,1,73.0,0,-8.2,3.4,0
EL6,GR,4.333333333333333,Valid Party Vote,0.0,3.0,4.0,0,34.0,1,-7.300001,1.2,0
EL6,GR,6.333333333333333,Valid Party Vote,0.0,5.0,1.0,0,79.0,1,-7.300001,1.2,0
EL5,GR,7.666666666666667,Valid Party Vote,0.0,5.0,4.0,0,30.0,0,-8.2,3.4,0
EL6,GR,1.6666666666666667,Refuse to Say,,2.0,4.0,1,45.0,1,-7.300001,1.2,0
EL6,GR,4.0,Refuse to Say,,4.0,4.0,1,51.0,1,-7.300001,1.2,0
EL6,GR,6.0,Refuse to Say,,6.0,2.0,1,67.0,1,-7.300001,1.2,0
EL3,GR,0.6666666666666666,Refuse to Say,,5.0,5.0,1,40.0,1,-11.6,-0.5,4
EL5,GR,2.0,Valid Party Vote,0.0,4.0,4.0,0,54.0,0,-8.2,3.4,0
EL3,GR,6.0,Valid Party Vote,0.0,2.0,2.0,0,73.0,1,-11.6,-0.5,4
EL6,GR,5.0,Valid Party Vote,0.0,6.0,4.0,0,25.0,1,-7.300001,1.2,0
EL3,GR,4.0,Refuse to Say,,6.0,6.0,0,37.0,1,-11.6,-0.5,4
EL4,GR,3.3333333333333335,Valid Party Vote,0.0,5.0,6.0,0,55.0,-3,-6.3999996,0.3,0
EL5,GR,3.3333333333333335,Valid Party Vote,1.0,3.0,4.0,0,52.0,0,-8.2,3.4,0
EL6,GR,2.0,Refuse to Say,,5.0,4.0,1,58.0,1,-7.300001,1.2,0
EL4,GR,4.666666666666667,Valid Party Vote,0.0,0.0,1.0,1,81.0,-3,-6.3999996,0.3,0
EL5,GR,3.6666666666666665,Ineligible / Not Applicable,,8.0,4.0,1,34.0,0,-8.2,3.4,0
EL3,GR,5.333333333333333,Valid Party Vote,0.0,7.0,4.0,0,48.0,1,-11.6,-0.5,4
EL3,GR,6.0,Valid Party Vote,0.0,5.0,4.0,1,62.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,9.0,6.0,0,61.0,0,-8.2,3.4,0
EL3,GR,7.0,Refuse to Say,,7.0,4.0,0,40.0,1,-11.6,-0.5,4
EL4,GR,3.0,Refuse to Say,,7.0,6.0,1,23.0,-3,-6.3999996,0.3,0
EL5,GR,4.333333333333333,Valid Party Vote,0.0,6.0,4.0,1,20.0,0,-8.2,3.4,0
EL5,GR,3.0,Valid Party Vote,0.0,6.0,3.0,0,56.0,0,-8.2,3.4,0
EL5,GR,6.666666666666667,Valid Party Vote,0.0,9.0,1.0,0,68.0,0,-8.2,3.4,0
EL5,GR,4.0,Ineligible / Not Applicable,,6.0,4.0,0,36.0,0,-8.2,3.4,0
EL6,GR,1.3333333333333333,Valid Party Vote,0.0,3.0,4.0,1,58.0,1,-7.300001,1.2,0
EL3,GR,6.333333333333333,Valid Party Vote,0.0,5.0,4.0,1,42.0,1,-11.6,-0.5,4
EL6,GR,3.6666666666666665,Valid Party Vote,0.0,1.0,4.0,0,59.0,1,-7.300001,1.2,0
EL5,GR,1.3333333333333333,Ineligible / Not Applicable,,3.0,4.0,0,21.0,0,-8.2,3.4,0
EL5,GR,8.0,Valid Party Vote,0.0,2.0,1.0,0,79.0,0,-8.2,3.4,0
EL3,GR,6.333333333333333,Refuse to Say,,8.0,2.0,1,79.0,1,-11.6,-0.5,4
EL6,GR,3.0,Valid Party Vote,0.0,,4.0,0,19.0,1,-7.300001,1.2,0
EL6,GR,2.6666666666666665,Valid Party Vote,0.0,4.0,6.0,1,42.0,1,-7.300001,1.2,0
EL6,GR,2.3333333333333335,Valid Party Vote,0.0,0.0,1.0,1,75.0,1,-7.300001,1.2,0
EL3,GR,2.0,Ineligible / Not Applicable,,1.0,4.0,1,69.0,1,-11.6,-0.5,4
EL4,GR,6.333333333333333,Valid Party Vote,0.0,7.0,4.0,1,47.0,-3,-6.3999996,0.3,0
EL4,GR,3.6666666666666665,Valid Party Vote,0.0,9.0,6.0,0,48.0,-3,-6.3999996,0.3,0
EL6,GR,0.6666666666666666,Valid Party Vote,0.0,0.0,7.0,1,38.0,1,-7.300001,1.2,0
EL3,GR,6.666666666666667,Valid Party Vote,0.0,5.0,6.0,1,56.0,1,-11.6,-0.5,4
EL5,GR,2.3333333333333335,Ineligible / Not Applicable,,3.0,4.0,0,62.0,0,-8.2,3.4,0
EL5,GR,1.6666666666666667,Valid Party Vote,0.0,5.0,2.0,0,63.0,0,-8.2,3.4,0
EL6,GR,6.0,Valid Party Vote,0.0,3.0,1.0,1,68.0,1,-7.300001,1.2,0
EL3,GR,4.0,Ineligible / Not Applicable,,10.0,2.0,1,23.0,1,-11.6,-0.5,4
EL5,GR,2.0,Valid Party Vote,0.0,9.0,4.0,0,46.0,0,-8.2,3.4,0
EL3,GR,3.3333333333333335,Valid Party Vote,0.0,3.0,6.0,0,68.0,1,-11.6,-0.5,4
EL5,GR,1.3333333333333333,Ineligible / Not Applicable,,3.0,1.0,1,81.0,0,-8.2,3.4,0
EL4,GR,5.0,Ineligible / Not Applicable,,3.0,4.0,0,18.0,-3,-6.3999996,0.3,0
EL5,GR,4.333333333333333,Valid Party Vote,0.0,5.0,4.0,1,58.0,0,-8.2,3.4,0
EL3,GR,3.3333333333333335,Ineligible / Not Applicable,,10.0,6.0,1,44.0,1,-11.6,-0.5,4
EL4,GR,3.3333333333333335,Valid Party Vote,0.0,3.0,7.0,0,29.0,-3,-6.3999996,0.3,0
EL4,GR,3.3333333333333335,Valid Party Vote,0.0,5.0,4.0,0,15.0,-3,-6.3999996,0.3,0
EL6,GR,2.0,Valid Party Vote,0.0,3.0,4.0,1,59.0,1,-7.300001,1.2,0
EL6,GR,3.6666666666666665,Valid Party Vote,0.0,4.0,6.0,0,44.0,1,-7.300001,1.2,0
EL4,GR,3.3333333333333335,Refuse to Say,,1.0,2.0,1,58.0,-3,-6.3999996,0.3,0
EL6,GR,4.666666666666667,Valid Party Vote,0.0,4.0,4.0,0,48.0,1,-7.300001,1.2,0
EL5,GR,5.0,Valid Party Vote,0.0,10.0,4.0,1,44.0,0,-8.2,3.4,0
EL4,GR,3.0,Valid Party Vote,0.0,5.0,6.0,0,36.0,-3,-6.3999996,0.3,0
EL6,GR,7.0,Valid Party Vote,0.0,5.0,6.0,1,40.0,1,-7.300001,1.2,0
EL5,GR,5.333333333333333,Refuse to Say,,8.0,4.0,1,42.0,0,-8.2,3.4,0
EL5,GR,2.6666666666666665,Valid Party Vote,0.0,5.0,6.0,1,68.0,0,-8.2,3.4,0
EL5,GR,5.333333333333333,Valid Party Vote,0.0,7.0,1.0,1,83.0,0,-8.2,3.4,0
